hb,hb_name
S08000015,Ayrshire and Arran
S08000016,Borders
S08000017,Dumfries and Galloway
S08000018,Fife
S08000019,Forth Valley
S08000020,Grampian
S08000021,Greater Glasgow and Clyde
S08000022,Highland
S08000023,Lanarkshire
S08000024,Lothian
S08000025,Orkney
S08000026,Shetland
S08000027,Tayside
S08000028,Western Isles
S08000029,Fife
S08000030,Tayside
S08000031,Greater Glasgow and Clyde
S08000032,Lanarkshire
SB0801,TheÂ Golden Jubilee National Hospital
SB0802,State Hospitals Board for Scotland
SB0803,NHS24
SB0804,NHS Health Scotland
SB0805,Healthcare Improvement Scotland
SB0806,Scottish Ambulance Service
SB0807,NHS Education for Scotland
SB0808,NHS National Services Scotland
SN0811,National Facility NHS Louisa Jordan
